,income,precinct_n,race
702,43085.6810829,PINCKNEYVILLE Y,hispanic
703,44776.1697722,PINCKNEYVILLE D,
704,49756.4892071,PINCKNEYVILLE K,
705,61858.2203188,PINCKNEYVILLE I,
706,126049.575239,WINTERS CHAPEL (DUN),white
707,62044.1526814,PINCKNEYVILLE U,
708,94871.7683969,MIDVALE ROAD,white
709,86202.9956996,HENDERSON MILL ELEM,white
710,82430.2820955,MONTREAL,white
711,43895.1366532,JOLLY ELEM,black
712,62406.8975829,IDLEWOOD ELEM,black
713,70612.1762036,BROCKETT,
714,91628.9954277,WOODWARD ELEM (BHAVN,
715,103435.932886,CROSS KEYS HIGH (BHA,
716,84529.649367,HARRIS-MARGARET HARR,white
717,82487.2273616,BRIARCLIFF,white
718,53960.4135568,MONTCLAIR ELEM,hispanic
719,83551.484499,BRIARWOOD (BHAVN),hispanic
720,123167.521961,BROOKHAVEN (BHAVN),white
721,120886.597542,SILVER LAKE (BHAVN),white
722,101731.994626,SKYLAND (BHAVN),
723,121469.258963,ASHFORD PARK ELEM (B,white
724,102700.673396,OAK GROVE ELEM,white
725,88732.4900975,CORALWOOD,white
726,152270.048599,SAGAMORE HILLS ELEM,white
727,127376.406513,LAKESIDE HIGH,white
728,54242.2244947,DRESDEN ELEM,hispanic
729,89142.956877,HAWTHORNE ELEM,white
730,57071.1882567,CLIFTON ELEM,black
731,60412.9860109,CEDAR GROVE MIDDLE,black
732,49299.9421385,FLAT SHOALS,black
733,40205.6109299,FLAT SHOALS ELEM,black
734,63298.9618907,MCNAIR ACADEMY,black
735,79382.0158026,EAST LAKE (ATL),black
736,60027.4694929,MCNAIR MIDDLE,black
737,106164.804212,OAKHURST (DEC),white
738,106721.992146,RENFROE MIDDLE (DEC),white
739,91336.453884,PONCE DE LEON (DEC),white
740,94575.0664381,CLAIREMONT EAST (DEC,white
741,107682.555416,WINNONA PARK ELEM (D,white
742,109095.808889,GLENNWOOD (DEC),white
743,109860.295873,CLAIREMONT WEST (DEC,white
744,32997.0398197,12M,black
745,32930.0000227,12J,black
746,32339.3658542,12H,black
747,36140.1578396,FOREST PARK 2,black
748,32949.4699222,12T,black
749,47053.9136763,MORROW 2,black
750,46943.0012069,MORROW 7,black
751,51183.999986,GLENHAVEN,black
752,86539.3731549,AVONDALE HIGH,white
753,74514.5410651,AVONDALE (AVO),white
754,55244.8169723,MIDWAY ELEM,black
755,45725.1472133,COVINGTON,black
756,57972.1051015,NORTH DECATUR,
757,47316.0000925,MCLENDON,
758,50361.1557331,LAKE CITY,
759,47832.7742799,MORROW 4,black
760,44338.0001804,MORROW 9,black
761,58798.2297341,MORROW 6,black
